score,n_trades,net_profit,profit_factor,win_rate_%,max_drawdown_usdt,timeframe,ema_fast,ema_slow,min_atr_pct,k_sl,k_tp1,k_tp2,k_tp3,p1,p2,p3,trail_act_%,trail_dist_%,symbols
-0.0,9,-1727.7068167518735,0.0,0.0,1727.7068167518732,5m,50,150,0.08,0.8,0.6,1.5,2.5,0.5,0.3,0.2,0.8,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1669.3761434512883,0.0,0.0,1669.3761434512883,5m,50,150,0.08,0.8,0.6,1.5,3.0,0.4,0.3,0.2,0.3,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1669.3761434512883,0.0,0.0,1669.3761434512883,5m,50,150,0.08,0.8,0.6,1.5,3.0,0.4,0.3,0.2,0.3,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1669.3761434512883,0.0,0.0,1669.3761434512883,5m,50,150,0.08,0.8,0.6,1.5,3.0,0.4,0.3,0.2,0.5,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1669.3761434512883,0.0,0.0,1669.3761434512883,5m,50,150,0.08,0.8,0.6,1.5,3.0,0.4,0.3,0.2,0.5,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1669.3761434512883,0.0,0.0,1669.3761434512883,5m,50,150,0.08,0.8,0.6,1.5,3.0,0.4,0.3,0.2,0.8,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1669.3761434512883,0.0,0.0,1669.3761434512883,5m,50,150,0.08,0.8,0.6,1.5,3.0,0.4,0.3,0.2,0.8,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1659.1121056221423,0.0,0.0,1659.112105622142,5m,50,150,0.08,0.8,0.6,1.5,3.0,0.4,0.3,0.3,0.3,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1659.1121056221423,0.0,0.0,1659.112105622142,5m,50,150,0.08,0.8,0.6,1.5,3.0,0.4,0.3,0.3,0.3,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1659.1121056221423,0.0,0.0,1659.112105622142,5m,50,150,0.08,0.8,0.6,1.5,3.0,0.4,0.3,0.3,0.5,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1659.1121056221423,0.0,0.0,1659.112105622142,5m,50,150,0.08,0.8,0.6,1.5,3.0,0.4,0.3,0.3,0.5,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1659.1121056221423,0.0,0.0,1659.112105622142,5m,50,150,0.08,0.8,0.6,1.5,3.0,0.4,0.3,0.3,0.8,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1659.1121056221423,0.0,0.0,1659.112105622142,5m,50,150,0.08,0.8,0.6,1.5,3.0,0.4,0.3,0.3,0.8,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1715.6204632422719,0.0,0.0,1715.6204632422719,5m,50,150,0.08,0.8,0.6,1.5,3.0,0.5,0.3,0.2,0.3,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1715.6204632422719,0.0,0.0,1715.6204632422719,5m,50,150,0.08,0.8,0.6,1.5,3.0,0.5,0.3,0.2,0.3,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1715.6204632422719,0.0,0.0,1715.6204632422719,5m,50,150,0.08,0.8,0.6,1.5,3.0,0.5,0.3,0.2,0.5,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1715.6204632422719,0.0,0.0,1715.6204632422719,5m,50,150,0.08,0.8,0.6,1.5,3.0,0.5,0.3,0.2,0.5,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1715.6204632422719,0.0,0.0,1715.6204632422719,5m,50,150,0.08,0.8,0.6,1.5,3.0,0.5,0.3,0.2,0.8,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1715.6204632422719,0.0,0.0,1715.6204632422719,5m,50,150,0.08,0.8,0.6,1.5,3.0,0.5,0.3,0.2,0.8,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1682.6711323118393,0.0,0.0,1682.6711323118393,5m,50,150,0.08,0.8,0.6,1.8,2.0,0.4,0.3,0.2,0.3,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1682.6711323118393,0.0,0.0,1682.6711323118393,5m,50,150,0.08,0.8,0.6,1.8,2.0,0.4,0.3,0.2,0.3,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1682.6711323118393,0.0,0.0,1682.6711323118393,5m,50,150,0.08,0.8,0.6,1.8,2.0,0.4,0.3,0.2,0.5,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1682.6711323118393,0.0,0.0,1682.6711323118393,5m,50,150,0.08,0.8,0.6,1.8,2.0,0.4,0.3,0.2,0.5,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1682.6711323118393,0.0,0.0,1682.6711323118393,5m,50,150,0.08,0.8,0.6,1.8,2.0,0.4,0.3,0.2,0.8,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1682.6711323118393,0.0,0.0,1682.6711323118393,5m,50,150,0.08,0.8,0.6,1.8,2.0,0.4,0.3,0.2,0.8,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1684.4934479923213,0.0,0.0,1684.493447992321,5m,50,150,0.08,0.8,0.6,1.8,2.0,0.4,0.3,0.3,0.3,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1684.4934479923213,0.0,0.0,1684.493447992321,5m,50,150,0.08,0.8,0.6,1.8,2.0,0.4,0.3,0.3,0.3,0.3,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
-0.0,9,-1684.4934479923213,0.0,0.0,1684.493447992321,5m,50,150,0.08,0.8,0.6,1.8,2.0,0.4,0.3,0.3,0.5,0.2,ETH/USDT;SOL/USDT;BNB/USDT;LINK/USDT
